State,Agency Name,NSN,Item Name,Quantity ,UI,Acquisition Value,Demil Code,Date Received,
AL,Athens Police Dept,1305999783426,5.56MM,9000,EA,2340,G,2018-06-12 00:00:00,
AL,Centre Police Dept,1305003011685,CAL .45,2000,EA,1440,G,2018-06-01 00:00:00,
AL,Centre Police Dept,1305999783426,5.56MM,2700,EA,702,G,2018-06-07 00:00:00,
AL,Coosa CSO,1305011555457,5.56MM,3280,EA,2394.4,G,"1/11/2018, 1/19/2018",
AL,Coosa CSO,1305999783426,5.56MM,2700,EA,702,G,2018-01-19 00:00:00,
AL,Fultondale Police Dept,1305003011685,CAL .46,2000,EA,1440,G,2018-03-01 00:00:00,
AL,Fultondale Police Dept,1305999783426,5.56MM,1800,EA,468,G,2018-03-08 00:00:00,
AL,Marshall CSO,1305011555457,5.56MM,4920,EA,3591.6,G,2017-09-15 00:00:00,
AL,Marshall CSO,1305999783426,5.56MM,5400,EA,1404,G,2017-09-15 00:00:00,
AL,Oneonta Police Dept,1305999783426,5.56MM,5400,EA,1404,G,2018-06-15 00:00:00,
AL,Pell City Police Dept,1305999783426,5.56MM,9000,EA,2340,G,2017-09-19 00:00:00,
AL,Univ of North AL Police HI_ED,1305003011685,CAL .47,4000,EA,2880,G,2018-02-27 00:00:00,
AL,Univ of North AL Police HI_ED,1305999783426,5.56MM,3600,EA,936,G,2018-03-01 00:00:00,
AL,Winston CSO,1305999783426,5.56MM,1800,EA,468,G,2018-03-22 00:00:00,
AR,De Queen Police Dept,1305003011685,CAL .48,2000,EA,1440,G,2018-01-18 00:00:00,
AR,Elkins Police Dept,1305011555457,5.56MM,1640,EA,1197.2,G,2017-09-20 00:00:00,
AR,Gurdon Police Dept,1305003011685,CAL .49,2000,EA,1440,G,2018-04-23 00:00:00,
AR,Gurdon Police Dept,1305015335663,5.56MM,1950,EA,780,G,2018-05-09 00:00:00,
AR,Gurdon Police Dept,1305999783426,5.56MM,1800,EA,468,G,2018-04-23 00:00:00,
AZ,Apache CSO,1305011555457,5.56MM,6560,EA,4788.8,G,2018-03-29 00:00:00,
AZ,Florence Police Dept,1305009144719,5.56MM,3280,EA,951.1999999999999,G,2018-02-06 00:00:00,
AZ,Florence Police Dept,1305009263970,5.56MM,1640,EA,328,G,2018-02-06 00:00:00,
AZ,Oro Valley Police Dept,1305003011685,CAL .50,4000,EA,2880,G,2017-09-15 00:00:00,
AZ,Page Police Dept,1305003011685,CAL .51,4000,EA,2880,G,2017-10-03 00:00:00,
AZ,Page Police Dept,1305013865604,12 GAGE,120,EA,70.8,G,2017-09-15 00:00:00,
AZ,Page Police Dept,1305999783426,5.56MM,4500,EA,1170,G,2017-09-19 00:00:00,
AZ,Pinal CSO,1305999783163,5.56MM,19900,EA,4975,G,2017-09-21 00:00:00,
AZ,Tucson Airport Authority PD,1305003011685,CAL .52,4000,EA,2880,G,2017-09-15 00:00:00,
AZ,Tucson Airport Authority PD,1305009263970,5.56MM,1640,EA,328,G,2017-09-15 00:00:00,
AZ,Tucson Airport Authority PD,1305014847701,12 GAUGE,180,EA,91.8,G,2017-09-19 00:00:00,
CA,Bell Police Dept,1305000286157,CAL .30,95,EA,7.6000000000000005,G,2017-09-20 00:00:00,
CA,Bell Police Dept,1305003011685,CAL .53,6000,EA,4320,G,2017-09-20 00:00:00,
CA,Bell Police Dept,1305015090177,5.56MM,3400,EA,918.0000000000001,G,2017-09-20 00:00:00,
CA,El Camino College PD HI_ED,1305003011685,CAL .54,4000,EA,2880,G,2018-04-20 00:00:00,
CA,El Camino College PD HI_ED,1305999783426,5.56MM,4500,EA,1170,G,2018-04-06 00:00:00,
CA,Fontana Police Dept,1305003011685,CAL .55,38000,EA,27360,G,2017-09-07 00:00:00,
CA,Hawthorne Police Dept,1305003011685,CAL .56,18000,EA,12960,G,2017-12-22 00:00:00,
CA,Hawthorne Police Dept,1305999783426,5.56MM,18000,EA,4680,G,2017-09-22 00:00:00,
CA,Mendota Police Dept,1305009263970,5.56MM,1640,EA,328,G,2017-09-14 00:00:00,
CA,Mendota Police Dept,1305014847701,12 GAUGE,240,EA,122.4,G,"9/20/2017, 9/21/2017",
CA,Merced Police Dept,1305999783426,5.56MM,19800,EA,5148,G,2017-09-19 00:00:00,
CA,South Lake Tahoe Police Dept,1305003011685,CAL .57,6000,EA,4320,G,"9/12/2017, 9/14/2017",
CA,South Lake Tahoe Police Dept,1305008922335,7.62MM,6400,EA,5440,G,"9/15/2017, 11/16/2017",
CA,South Lake Tahoe Police Dept,1305009650832,5.56MM,7200,EA,2304,G,2017-11-16 00:00:00,
CA,South Lake Tahoe Police Dept,1305999783426,5.56MM,6300,EA,1638,G,2017-11-16 00:00:00,
CO,Boulder CSO,1305003011685,CAL .58,28000,EA,20160,G,"1/18/2018, 2/5/2018",
CO,Boulder CSO,1305009263970,5.56MM,2460,EA,492,G,2018-01-18 00:00:00,
CO,Boulder CSO,1305999783426,5.56MM,20700,EA,5382,G,2018-02-05 00:00:00,
CO,Boulder Police Dept,1305003011685,CAL .59,10000,EA,7200,G,2018-04-20 00:00:00,
CO,Englewood Police Dept,1305003011685,CAL .60,14000,EA,10080,G,2018-05-24 00:00:00,
CO,Englewood Police Dept,1305009263970,5.56MM,1640,EA,328,G,2018-05-24 00:00:00,
CO,Florence Police Dept,1305003011685,CAL .61,2000,EA,1440,G,2018-06-26 00:00:00,
CO,Florence Police Dept,1305009263970,5.56MM,1640,EA,328,G,2018-06-26 00:00:00,
CO,Greeley Police Dept,1305003011685,CAL .62,16000,EA,11520,G,2017-10-30 00:00:00,
CO,Rocky Ford Police Dept,1305999783426,5.56MM,2700,EA,702,G,2018-01-16 00:00:00,
CO,Trinidad Police Dept,1305011555457,5.56MM,3280,EA,2394.4,G,2018-01-11 00:00:00,
CO,Vail Police Dept,1305003011685,CAL .63,4000,EA,2880,G,2018-01-18 00:00:00,
DE,Harrington Police Dept,1305009144719,5.56MM,3280,EA,951.1999999999999,G,2018-01-03 00:00:00,
DE,Harrington Police Dept,1305999783426,5.56MM,2700,EA,702,G,2018-01-18 00:00:00,
DE,Laurel Police Dept,1305003011685,CAL .64,4000,EA,2880,G,"6/8/2018, 6/12/2018",
FL,FL International Univ PD HI_ED,1305999783426,5.56MM,11700,EA,3042,G,2018-05-31 00:00:00,
FL,Miami Beach Police Dept,1305008922335,7.62MM,20000,EA,17000,G,2018-05-03 00:00:00,
FL,Miami Beach Police Dept,1305014673026,5.56MM,3200,EA,1280,G,2018-04-04 00:00:00,
GA,Chamblee Police Dept,1305009263970,5.56MM,3950,EA,790,G,2017-06-07 00:00:00,
GA,Chamblee Police Dept,1305009263970,5.56MM,8985,EA,1797,G,2017-06-09 00:00:00,
GA,GA DNR LAW ENF DIV,1305009263970,5.56MM,394,EA,78.80000000000001,G,2018-06-05 00:00:00,
GA,GA DNR LAW ENF DIV,1305009263970,5.56MM,1640,EA,328,G,2018-06-05 00:00:00,
GA,GA DNR LAW ENF DIV,1305009263970,5.56MM,1000,EA,200,G,2018-06-26 00:00:00,
GA,GA DNR LAW ENF DIV,1305999783426,5.56MM,49500,EA,12870,G,2018-06-26 00:00:00,
GA,GA DPS,1305009263970,5.56MM,1640,EA,328,G,2018-07-09 00:00:00,
GA,GA DPS,1305009263970,5.56MM,1640,EA,328,G,2018-07-13 00:00:00,
GA,GA Public Safety Training Center,1305003011685,CAL .65,12000,EA,8640,G,2018-08-23 00:00:00,
GA,GA Public Safety Training Center,1305008922335,7.62MM,13649,EA,11560,G,2018-08-06 00:00:00,
GA,GA Public Safety Training Center,1305009144719,5.56MM,8200,EA,2378,G,2018-08-06 00:00:00,
GA,GA Public Safety Training Center,1305009263929,5.56MM,12853,EA,4704,G,2018-08-23 00:00:00,
GA,GA Public Safety Training Center,1305011555457,5.56MM,13120,EA,9577.6,G,2018-08-23 00:00:00,
GA,GA Public Safety Training Center,1305014673026,5.56MM,3200,EA,1280,G,2018-08-06 00:00:00,
GA,GA Public Safety Training Center,1305015335663,5.56MM,14400,EA,5760,G,2018-08-06 00:00:00,
GA,GA Public Safety Training Center,1305999783163,5.56MM,13500,EA,3375,G,2018-08-06 00:00:00,
GA,GA Public Safety Training Center,1305999783426,5.56MM,13500,EA,3510,G,2018-08-06 00:00:00,
IL,Chicago Heights Park Dist Police Dept,1305011555457,5.56MM,3280,EA,2394.4,G,2018-07-09 00:00:00,
IL,Creve Coeur Police Dept,1305999783426,5.56MM,2700,EA,702,G,2018-07-19 00:00:00,
IL,Dekalb Police Dept,1305999783426,5.56MM,12600,EA,3276,G,2018-07-26 00:00:00,
IL,Des Plaines Police Dept,1305999783426,5.56MM,19800,EA,5148,G,2018-07-02 00:00:00,
IL,Forest Park Police Dept,1305999783426,5.56MM,9000,EA,2340,G,2018-07-20 00:00:00,
IL,Montgomery Police Dept,1305999783426,5.56MM,5400,EA,1404,G,2018-08-08 00:00:00,
IN,Bedford Police Dept,1305009263929,5.56MM,1680,EA,588,G,2017-09-07 00:00:00,
IN,Bedford Police Dept,1305009263970,5.56MM,80,EA,16,G,2017-09-07 00:00:00,
IN,Bedford Police Dept,1305999783426,5.56MM,5400,EA,1404,G,2017-10-16 00:00:00,
IN,Brazil Police Dept,1305003011685,CAL .66,2000,EA,1440,G,2017-11-17 00:00:00,
IN,Brazil Police Dept,1305008922335,7.62MM,3200,EA,2720,G,2017-11-29 00:00:00,
IN,Brazil Police Dept,1305015335663,5.56MM,3600,EA,1440,G,2017-11-15 00:00:00,
IN,Brazil Police Dept,1305999783426,5.56MM,2700,EA,702,G,2017-11-15 00:00:00,
IN,Clark CSO,1305003011685,CAL .67,2000,EA,1440,G,2017-11-01 00:00:00,
IN,Clark CSO,1305009144719,5.56MM,9840,EA,2853.6,G,2017-11-01 00:00:00,
IN,Clark CSO,1305999783426,5.56MM,19680,EA,5116.8,G,2017-10-16 00:00:00,
IN,Clinton City Police Dept,1305011555457,5.56MM,1640,EA,1197.2,G,2017-09-08 00:00:00,
IN,Clinton City Police Dept,1305999783426,5.56MM,1800,EA,468,G,2017-09-19 00:00:00,
IN,Connersville Police Dept,1305999783426,5.56MM,2700,EA,702,G,2018-04-27 00:00:00,
IN,Crothersville Police Dept,1305008922335,7.62MM,800,EA,680,G,2017-09-14 00:00:00,
IN,Crothersville Police Dept,1305011555457,5.56MM,1640,EA,1197.2,G,2017-09-13 00:00:00,
IN,Crothersville Police Dept,1305999783426,5.56MM,900,EA,234,G,2017-09-20 00:00:00,
IN,Homecroft Police Dept,1305009650832,5.56MM,3280,EA,1049.6,G,2017-09-18 00:00:00,
IN,Homecroft Police Dept,1305014673026,5.56MM,3200,EA,1280,G,2017-09-06 00:00:00,
IN,Howard CSD,1305011555457,5.56MM,1640,EA,1197.2,G,2017-09-03 00:00:00,
IN,Howard CSD,1305999783426,5.56MM,7200,EA,1872,G,2017-09-22 00:00:00,
IN,Purdue Univ Police Dept HI_ED,1305011555457,5.56MM,8200,EA,5986,G,2018-03-14 00:00:00,
IN,Purdue Univ Police Dept HI_ED,1305999783426,5.56MM,8100,EA,2106,G,2018-03-08 00:00:00,
IN,Rome City Marshals Office,1305003011685,CAL .68,2000,EA,1440,G,2018-06-01 00:00:00,
MI,Alpena CSO,1305999783426,5.56MM,4500,EA,1170,G,2018-05-11 00:00:00,
MI,Battle Creek Police Dept,1305012556276,5.56MM,23520,EA,13171.2,G,2017-04-13 00:00:00,
MI,Calhoun CSO,1305999783426,5.56MM,26100,EA,6786,G,2018-01-17 00:00:00,
MI,Escanaba Public Safety,1305014673026,5.56MM,4800,EA,1920,G,"1/9/2018, 1/10/2018",
MI,Escanaba Public Safety,1305999783163,5.56MM,1800,EA,450,G,2018-01-10 00:00:00,
MI,Grand Haven Police Dept,1305999783426,5.56MM,7200,EA,1872,G,2017-10-18 00:00:00,
MI,Ingham CSO,1305012556276,5.56MM,20160,EA,11289.6,G,2017-04-13 00:00:00,
MI,Kalamazoo CSO,1305999783426,5.56MM,29700,EA,7722,G,2018-04-02 00:00:00,
MI,Muskegon Heights Police Dept,1305014847701,12 GAUGE,240,EA,122.4,G,2017-09-21 00:00:00,
MI,Muskegon Heights Police Dept,1305999783163,5.56MM,4500,EA,1125,G,2017-09-21 00:00:00,
MI,Oakland CSO,1305003011685,CAL .69,6000,EA,4320,G,2018-03-26 00:00:00,
MI,Oakland CSO,1305999783426,5.56MM,230400,EA,59904,G,"10/9/2017, 11/1/2017",
MI,Port Huron Police Dept,1305003011685,CAL .70,10000,EA,7200,G,"7/26/2018, 8/3/2018",
MI,Port Huron Police Dept,1305009263970,5.56MM,9840,EA,1968,G,2018-08-03 00:00:00,
MI,Port Huron Police Dept,1305014847701,12 GAUGE,240,EA,122.4,G,2018-08-03 00:00:00,
MI,Tuscola CSO,1305009263970,5.56MM,1640,EA,328,G,2017-09-20 00:00:00,
MI,Unadilla Township Police Dept,1305014847701,12 GAUGE,240,EA,122.4,G,2018-01-18 00:00:00,
MI,Unadilla Township Police Dept,1305999783426,5.56MM,1800,EA,468,G,2018-01-18 00:00:00,
MI,Westland Police Dept,1305009144719,5.56MM,1640,EA,475.59999999999997,G,2018-04-02 00:00:00,
MI,Westland Police Dept,1305999783426,5.56MM,16200,EA,4212,G,2018-04-02 00:00:00,
MI,Wyoming DPS,1305009263970,5.56MM,16840,EA,3368,G,2017-09-20 00:00:00,
MS,Rankin CSO,1305003011685,CAL .71,18000,EA,12960,G,2018-01-18 00:00:00,
MS,Ridgeland Police Dept,1305011555457,5.56MM,14760,EA,10774.8,G,2018-06-29 00:00:00,
MS,Ridgeland Police Dept,1305014673026,5.56MM,3200,EA,1280,G,2018-06-12 00:00:00,
