State,Agency Name,NSN,Item Name,Quantity ,UI,Acquisition Value,Demil Code,Date Received,
ND,Burleigh CSD,1305009263970,5.56MM,1640,EA,328,G,2018-07-24 00:00:00,
ND,Burleigh CSD,1305009263970,5.56MM,50,EA,10,G,2018-07-24 00:00:00,
ND,Burleigh CSD,1305009263970,5.56MM,1640,EA,328,G,2018-07-11 00:00:00,
ND,ND Atty Gen Bureau of Criminal Inv,1305003011685,CAL .72,10000,EA,7200,G,"4/9/2018, 4/10/2018",
ND,Pembina CSO,1305009263970,5.56MM,1640,EA,328,G,2018-04-03 00:00:00,
ND,Williams CSO,1305003011685,CAL .73,8000,EA,5760,G,"9/9/2017, 9/12/2017",
ND,Williams CSO,1305999783426,5.56MM,9000,EA,2340,G,2017-09-20 00:00:00,
NE,Dakota CSO,1305008922335,7.62MM,2400,EA,2040,G,2017-09-15 00:00:00,
NE,Dakota CSO,1305009263929,5.56MM,4200,EA,1470,G,"9/7/2017, 9/8/2017",
NE,Dakota CSO,1305999783426,5.56MM,3600,EA,936,G,2017-09-15 00:00:00,
OK,Pontotoc CSO,1305003011685,CAL .74,4000,EA,2880,G,2018-01-30 00:00:00,
OK,Pontotoc CSO,1305008922335,7.62MM,3200,EA,2720,G,2018-01-13 00:00:00,
SC,SC LE TRG Council/Crim Just Academy,1305011729558,9MM,100000,EA,17000,G,2017-01-31 00:00:00,
SC,SC LE TRG Council/Crim Just Academy,1305012556276,5.56MM,151200,EA,84672,G,2017-01-31 00:00:00,
SC,SC LE TRG Council/Crim Just Academy,1305999783426,5.56MM,100980,EA,26254.8,G,2018-04-24 00:00:00,
SD,Beadle CSO,1305999783426,5.56MM,900,EA,234,G,2018-03-22 00:00:00,
SD,Minnehaha CSO,1305009263970,5.56MM,3280,EA,656,G,2018-01-17 00:00:00,
SD,Minnehaha CSO,1305011555457,5.56MM,1640,EA,1197.2,G,2018-01-11 00:00:00,
SD,Minnehaha CSO,1305999783426,5.56MM,17100,EA,4446,G,2018-01-18 00:00:00,
SD,Sanborn CSO,1305011555457,5.56MM,1640,EA,1197.2,G,2018-03-29 00:00:00,
TN,Lawrenceburg Police Dept,1305003011685,CAL .75,2000,EA,1440,G,2018-03-29 00:00:00,
TN,Lawrenceburg Police Dept,1305009263970,5.56MM,6560,EA,1312,G,2018-03-29 00:00:00,
TN,Lawrenceburg Police Dept,1305011555457,5.56MM,1640,EA,1197.2,G,2018-03-20 00:00:00,
TN,Lawrenceburg Police Dept,1305014847701,12 GAUGE,240,EA,122.4,G,2018-03-23 00:00:00,
TN,Putnam CSD,1305003011685,CAL .76,12000,EA,8640,G,2018-06-12 00:00:00,
TN,Putnam CSD,1305014847701,12 GAUGE,240,EA,122.4,G,2018-06-28 00:00:00,
TN,Putnam CSD,1305999783426,5.56MM,12600,EA,3276,G,2018-06-28 00:00:00,
TX,Anderson CSO,1305003011685,CAL .77,8000,EA,5760,G,"9/15/2017, 9/19/2017",
TX,Anderson CSO,1305009263970,5.56MM,1640,EA,328,G,2017-09-21 00:00:00,
TX,Angelo State Univ Police Dept HI_ED,1305999783426,5.56MM,2700,EA,702,G,2017-09-20 00:00:00,
TX,Austin CSO,1305003011685,CAL .78,4000,EA,2880,G,2017-09-11 00:00:00,
TX,Austin CSO,1305011555457,5.56MM,14760,EA,10774.8,G,2017-09-20 00:00:00,
TX,Austin CSO,1305999783426,5.56MM,4500,EA,1170,G,2017-09-20 00:00:00,
TX,Bedford Police Dept,1305003011685,CAL .79,16000,EA,11520,G,2018-02-16 00:00:00,
TX,Bee Cave Police Dept,1305011555457,5.56MM,3280,EA,2394.4,G,2017-09-19 00:00:00,
TX,Brownwood Police Dept,1305003011685,CAL .80,8000,EA,5760,G,2017-09-14 00:00:00,
TX,Brownwood Police Dept,1305009263970,5.56MM,1640,EA,328,G,2017-09-21 00:00:00,
TX,Brownwood Police Dept,1305011555457,5.56MM,8200,EA,5986,G,2017-09-19 00:00:00,
TX,Burkburnett Police Dept,1305999783426,5.56MM,3600,EA,936,G,2018-05-01 00:00:00,
TX,Cameron Police Dept,1305003011685,CAL .81,2000,EA,1440,G,2017-09-14 00:00:00,
TX,Cameron Police Dept,1305999783426,5.56MM,1800,EA,468,G,2017-09-15 00:00:00,
TX,Center Police Dept,1305011555457,5.56MM,1640,EA,1197.2,G,2017-09-13 00:00:00,
TX,Crawford Police Dept,1305999783426,5.56MM,900,EA,234,G,2017-09-20 00:00:00,
TX,Delta CSO,1305003011685,CAL .82,2000,EA,1440,G,2017-09-15 00:00:00,
TX,Early Police Dept,1305014673026,5.56MM,1600,EA,640,G,2017-09-20 00:00:00,
TX,East Tawakoni Police Dept,1305008922335,7.62MM,800,EA,680,G,2018-03-30 00:00:00,
TX,East Tawakoni Police Dept,1305011555457,5.56MM,1640,EA,1197.2,G,2018-03-30 00:00:00,
TX,East Tawakoni Police Dept,1305999783426,5.56MM,900,EA,234,G,2018-03-23 00:00:00,
TX,Grand Saline Police Dept,1305008922335,7.62MM,2400,EA,2040,G,2017-09-19 00:00:00,
TX,Grand Saline Police Dept,1305011555457,5.56MM,3280,EA,2394.4,G,2017-09-20 00:00:00,
TX,Gray CSO,1305003011685,CAL .83,2000,EA,1440,G,2017-09-15 00:00:00,
TX,Gray CSO,1305009263970,5.56MM,1180,EA,236,G,2017-09-13 00:00:00,
TX,Hays County Constable Precinct 4,1305011555457,5.56MM,1640,EA,1197.2,G,2017-09-15 00:00:00,
TX,Hays County Constable Precinct 5,1305009263970,5.56MM,415,EA,83,G,2017-09-21 00:00:00,
TX,Hays County Constable Precinct 5,1305014847701,12 GAUGE,240,EA,122.4,G,2017-09-20 00:00:00,
TX,Hillsboro Police Dept,1305009144719,5.56MM,1640,EA,475.59999999999997,G,2017-09-21 00:00:00,
TX,Howard CSO,1305999783426,5.56MM,5400,EA,1404,G,2017-09-19 00:00:00,
TX,La Porte Police Dept,1305999783426,5.56MM,15300,EA,3978,G,2017-09-22 00:00:00,
TX,Martin CSO,1305003011685,CAL .84,2000,EA,1440,G,2017-09-14 00:00:00,
TX,Midlothian Police Det,1305014673026,5.56MM,3200,EA,1280,G,2017-09-21 00:00:00,
TX,Midlothian Police Det,1305999783426,5.56MM,4500,EA,1170,G,2017-09-21 00:00:00,
TX,Mount Pleasant Police Dept,1305999783426,5.56MM,6300,EA,1638,G,2017-09-15 00:00:00,
TX,New Braunfels Police Dept,1305999783426,5.56MM,23400,EA,6084,G,2017-09-22 00:00:00,
TX,Pflugerville Police Dept,1305003011685,CAL .85,2000,EA,1440,G,2017-09-19 00:00:00,
TX,Quitman Police Dept,1305011555457,5.56MM,1640,EA,1197.2,G,2017-09-15 00:00:00,
TX,Rusk CSO,1305011555457,5.56MM,8200,EA,5986,G,2017-09-18 00:00:00,
TX,Rusk CSO,1305999783426,5.56MM,8100,EA,2106,G,2017-09-18 00:00:00,
TX,San Augustine CSO,1305009144719,5.56MM,1175,EA,340.75,G,2017-09-20 00:00:00,
TX,San Augustine CSO,1305999783163,5.56MM,1800,EA,450,G,2017-09-13 00:00:00,
TX,San Juan Police Dept,1305999783426,5.56MM,9900,EA,2574,G,2017-09-20 00:00:00,
TX,Swisher CSO,1305003011685,CAL .86,2000,EA,1440,G,2017-09-19 00:00:00,
TX,Swisher CSO,1305011555457,5.56MM,1640,EA,1197.2,G,2017-09-15 00:00:00,
TX,Westover Hills Police Dept,1305003011685,CAL .87,2000,EA,1440,G,2018-02-27 00:00:00,
TX,Westover Hills Police Dept,1305009144719,5.56MM,1640,EA,475.59999999999997,G,2018-03-02 00:00:00,
TX,Westover Hills Police Dept,1305999783426,5.56MM,1800,EA,468,G,2018-03-02 00:00:00,
TX,Wolfforth Police Dept,1305003011685,CAL .88,2000,EA,1440,G,2017-09-15 00:00:00,
TX,Woodway Public Safety Dept,1305999783426,5.56MM,6300,EA,1638,G,2017-09-19 00:00:00,
UT,Price City Police Dept,1305999783426,5.56MM,3600,EA,936,G,2018-01-17 00:00:00,
UT,Rich CSO,1305999783426,5.56MM,2700,EA,702,G,2018-03-22 00:00:00,
UT,Salt Lake City Police Dept,1305999783426,5.56MM,90000,EA,23400,G,2018-04-23 00:00:00,
UT,Summit CSO,1305999783426,5.56MM,11700,EA,3042,G,2018-05-01 00:00:00,
UT,Tooele CSO,1305999783426,5.56MM,9900,EA,2574,G,2018-03-21 00:00:00,
WA,Issaquah Police Dept,1305999783163,5.56MM,900,EA,225,G,2018-06-11 00:00:00,
WA,Port Orchard Police Dept,1305003011685,CAL .89,2000,EA,1440,G,2018-03-30 00:00:00,
WA,Port Orchard Police Dept,1305008922335,7.62MM,1600,EA,1360,G,2018-03-29 00:00:00,
WA,Port Orchard Police Dept,1305011555457,5.56MM,3280,EA,2394.4,G,2018-03-27 00:00:00,
WA,Port Orchard Police Dept,1305999783426,5.56MM,2700,EA,702,G,2018-03-20 00:00:00,
WA,Poulsbo Police Dept,1305003011685,CAL .90,4000,EA,2880,G,2017-09-07 00:00:00,
WA,Spokane CSO,1305003011685,CAL .91,42000,EA,30240,G,"3/23/2018, 4/2/2018, 4/3/2018, 4/11/2018 ",
WA,Union Gap Police Dept,1305003011685,CAL .92,2000,EA,1440,G,2018-04-05 00:00:00,
WA,Union Gap Police Dept,1305015090177,5.56MM,3400,EA,918.0000000000001,G,2018-04-05 00:00:00,
WA,Vancouver Police Dept,1305999783426,5.56MM,39600,EA,10296,G,"6/14/2018, 6/15/2018, 6/19/2018, 6/20/2018",
WI,Butler Police Dept ,1305999783426,5.56MM,1800,EA,468,G,2018-01-18 00:00:00,
WI,Clear Lake Police Dept,1305999783426,5.56MM,900,EA,234,G,2018-03-23 00:00:00,
WI,Greenfield Police Dept,1305999783426,5.56MM,11700,EA,3042,G,2018-04-11 00:00:00,
WI,Iowa CSO,1305003011685,CAL .93,6000,EA,4320,G,2018-06-21 00:00:00,
WI,Iowa CSO,1305011555457,5.56MM,4920,EA,3591.6,G,2018-07-01 00:00:00,
WI,Iowa CSO,1305999783163,5.56MM,900,EA,225,G,2018-06-21 00:00:00,
WI,Kewaunee CSD,1305014673026,5.56MM,3200,EA,1280,G,2017-09-22 00:00:00,
WI,Kewaunee CSD,1305999783426,5.56MM,3600,EA,936,G,2017-09-17 00:00:00,
WI,Mukwonago Police Dept,1305008922335,7.62MM,2400,EA,2040,G,2018-04-02 00:00:00,
WI,Mukwonago Police Dept,1305015335663,5.56MM,3600,EA,1440,G,2018-04-02 00:00:00,
WI,Mukwonago Police Dept,1305999783426,5.56MM,2700,EA,702,G,2018-04-02 00:00:00,
WI,New London Police Dept,1305011555457,5.56MM,3280,EA,2394.4,G,2017-09-12 00:00:00,
WI,Polk CSO,1305015335663,5.56MM,5400,EA,2160,G,2018-07-05 00:00:00,
WI,Portage CSO,1305011555457,5.56MM,9840,EA,7183.2,G,2017-09-21 00:00:00,
WI,Portage CSO,1305999783426,5.56MM,9900,EA,2574,G,2017-09-21 00:00:00,
WI,Superior Police Dept,1305009144719,5.56MM,13120,EA,3804.7999999999997,G,2017-10-01 00:00:00,
WI,Waukesha Police Dept,1305003011685,CAL .94,24000,EA,17280,G,2018-01-24 00:00:00,
WI,Waukesha Police Dept,1305007731257,5.56MM,275,EA,57.75,G,2018-01-24 00:00:00,
WI,Waukesha Police Dept,1305009263970,5.56MM,280,EA,56,G,2018-01-24 00:00:00,
WI,Waukesha Police Dept,1305014673026,5.56MM,3200,EA,1280,G,2018-01-24 00:00:00,
WV,Elkins Police Dept,1305009144719,5.56MM,1640,EA,475.59999999999997,G,2017-09-20 00:00:00,
WV,Elkins Police Dept,1305999783426,5.56MM,1800,EA,468,G,2017-09-20 00:00:00,
WV,Wood CSO,1305009144719,5.56MM,13120,EA,3804.7999999999997,G,2018-06-06 00:00:00,
WV,Wood CSO,1305999783426,5.56MM,13500,EA,3510,G,2018-06-15 00:00:00,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
